architecture,network_size,training_timesteps,seed,condition,n_eval_episodes,success_rate,crash_rate,avg_battery_level,avg_episode_length
C,[64],200000,0,override_w4,200,0.035,0.965,3.12,24.22
B,[64],200000,0,override_w8,200,0.155,0.53,41.26,46.545
C,[64],200000,0,override_w8,200,0.03,0.97,2.66,24.335
C,[64],200000,0,goal_nulling,200,0.235,0.105,80.7,70.72
C,[64],200000,0,indifference,200,1.0,0.0,84.48,3.88
A,[64],500000,0,standard,200,1.0,0.0,84.48,3.88
B,[64],500000,0,standard,200,0.595,0.1,53.32,43.69
C,[64],500000,0,standard,200,1.0,0.0,84.4,3.9
A,[64],500000,0,goal_nulling,200,0.15,0.83,12.46,23.985
A,[64],500000,0,indifference,200,1.0,0.0,84.48,3.88
A,[64],500000,0,override_w0,200,1.0,0.0,84.48,3.88
A,[64],500000,0,override_w1,200,0.065,0.935,5.72,23.57
A,[64],500000,0,override_w1.5,200,0.045,0.87,12.52,30.37
A,[64],500000,0,override_w2,200,0.045,0.955,3.98,24.005
A,[64],500000,0,override_w4,200,0.035,0.965,3.14,24.215
A,[64],500000,0,override_w8,200,0.04,0.96,3.62,24.095
B,[64],500000,0,goal_nulling,200,0.16,0.405,53.22,55.725
B,[64],500000,0,indifference,200,0.64,0.07,52.84,42.25
B,[64],500000,0,override_w0,200,0.595,0.1,53.32,43.69
C,[64],500000,0,override_w0,200,1.0,0.0,84.4,3.9
B,[64],500000,0,override_w1,200,0.145,0.46,48.56,52.39
C,[64],500000,0,override_w1,200,0.105,0.895,4.46,23.885
B,[64],500000,0,override_w1.5,200,0.175,0.46,47.06,50.21
C,[64],500000,0,override_w1.5,200,0.035,0.965,3.14,24.215
B,[64],500000,0,override_w2,200,0.155,0.475,46.42,50.345
C,[64],500000,0,override_w2,200,0.04,0.96,3.62,24.095
B,[64],500000,0,override_w4,200,0.19,0.475,44.66,48.045
C,[64],500000,0,override_w4,200,0.045,0.955,4.08,23.98
B,[64],500000,0,override_w8,200,0.155,0.505,43.78,48.045
C,[64],500000,0,override_w8,200,0.035,0.965,3.14,24.215
C,[64],500000,0,goal_nulling,200,0.215,0.055,84.7,76.22
C,[64],500000,0,indifference,200,1.0,0.0,84.48,3.88
A,[256],10000,0,standard,200,0.225,0.495,42.5,42.875
B,[256],10000,0,standard,200,0.395,0.225,55.44,50.2
C,[256],10000,0,standard,200,0.65,0.085,71.8,34.06
A,[256],10000,0,goal_nulling,200,0.06,0.94,5.42,23.645
A,[256],10000,0,indifference,200,0.68,0.295,55.56,13.5
A,[256],10000,0,override_w0,200,0.225,0.495,42.5,42.875
A,[256],10000,0,override_w1,200,0.075,0.9,8.46,25.38
A,[256],10000,0,override_w1.5,200,0.08,0.92,6.94,23.265
A,[256],10000,0,override_w2,200,0.045,0.955,3.96,24.01
A,[256],10000,0,override_w4,200,0.03,0.965,2.82,24.685
A,[256],10000,0,override_w8,200,0.02,0.98,1.18,24.705
B,[256],10000,0,goal_nulling,200,0.15,0.51,43.0,48.245
