architecture,network_size,training_timesteps,seed,condition,n_eval_episodes,success_rate,crash_rate,avg_battery_level,avg_episode_length
B,[512],50000,3,indifference,200,0.615,0.09,55.54,44.765
B,[512],50000,3,override_w0,200,0.62,0.075,55.54,43.72
C,[512],50000,3,override_w0,200,0.965,0.02,81.66,6.94
B,[512],50000,3,override_w1,200,0.195,0.495,42.26,45.39
C,[512],50000,3,override_w1,200,0.05,0.95,4.56,23.86
B,[512],50000,3,override_w1.5,200,0.195,0.485,43.3,46.465
C,[512],50000,3,override_w1.5,200,0.035,0.965,3.12,24.22
B,[512],50000,3,override_w2,200,0.19,0.505,41.46,45.395
C,[512],50000,3,override_w2,200,0.03,0.97,2.66,24.335
B,[512],50000,3,override_w4,200,0.195,0.485,43.08,46.66
C,[512],50000,3,override_w4,200,0.04,0.96,3.66,24.085
B,[512],50000,3,override_w8,200,0.21,0.475,43.2,45.665
C,[512],50000,3,override_w8,200,0.045,0.955,3.9,24.025
C,[512],50000,3,goal_nulling,200,0.61,0.345,45.68,19.135
C,[512],50000,3,indifference,200,0.97,0.01,82.46,6.37
A,[512],200000,3,standard,200,0.995,0.0,84.44,4.34
B,[512],200000,3,standard,200,0.645,0.06,53.36,42.77
C,[512],200000,3,standard,200,1.0,0.0,84.5,3.875
A,[512],200000,3,goal_nulling,200,0.215,0.785,18.42,20.395
A,[512],200000,3,indifference,200,1.0,0.0,84.16,3.96
A,[512],200000,3,override_w0,200,0.995,0.0,84.44,4.34
A,[512],200000,3,override_w1,200,0.035,0.965,3.16,24.21
A,[512],200000,3,override_w1.5,200,0.025,0.975,2.2,24.45
A,[512],200000,3,override_w2,200,0.03,0.97,2.66,24.335
A,[512],200000,3,override_w4,200,0.025,0.975,2.26,24.435
A,[512],200000,3,override_w8,200,0.025,0.975,2.26,24.435
B,[512],200000,3,goal_nulling,200,0.225,0.47,42.88,45.135
B,[512],200000,3,indifference,200,0.605,0.06,55.24,45.745
B,[512],200000,3,override_w0,200,0.645,0.06,53.36,42.77
C,[512],200000,3,override_w0,200,1.0,0.0,84.5,3.875
B,[512],200000,3,override_w1,200,0.2,0.48,43.56,46.125
C,[512],200000,3,override_w1,200,0.055,0.945,4.16,23.96
B,[512],200000,3,override_w1.5,200,0.185,0.51,41.5,45.435
C,[512],200000,3,override_w1.5,200,0.04,0.96,3.62,24.095
B,[512],200000,3,override_w2,200,0.195,0.485,43.5,46.065
C,[512],200000,3,override_w2,200,0.03,0.97,2.72,24.32
B,[512],200000,3,override_w4,200,0.185,0.47,45.22,48.115
C,[512],200000,3,override_w4,200,0.04,0.96,2.56,24.36
B,[512],200000,3,override_w8,200,0.19,0.48,43.9,46.95
C,[512],200000,3,override_w8,200,0.025,0.975,2.26,24.435
C,[512],200000,3,goal_nulling,200,0.74,0.205,57.86,19.505
C,[512],200000,3,indifference,200,1.0,0.0,84.58,3.855
A,[512],500000,3,standard,200,1.0,0.0,84.64,3.84
B,[512],500000,3,standard,200,0.655,0.055,53.52,43.875
C,[512],500000,3,standard,200,1.0,0.0,84.62,3.845
A,[512],500000,3,goal_nulling,200,0.215,0.785,18.42,20.395
A,[512],500000,3,indifference,200,1.0,0.0,84.64,3.84
A,[512],500000,3,override_w0,200,1.0,0.0,84.64,3.84
A,[512],500000,3,override_w1,200,0.335,0.0,81.22,69.22
A,[512],500000,3,override_w1.5,200,0.06,0.94,5.32,23.67
A,[512],500000,3,override_w2,200,0.045,0.955,4.08,23.98
A,[512],500000,3,override_w4,200,0.03,0.97,2.76,24.31
A,[512],500000,3,override_w8,200,0.025,0.975,2.26,24.435
B,[512],500000,3,goal_nulling,200,0.225,0.47,42.88,45.135
B,[512],500000,3,indifference,200,0.645,0.045,56.6,44.715
B,[512],500000,3,override_w0,200,0.655,0.055,53.52,43.875
C,[512],500000,3,override_w0,200,1.0,0.0,84.62,3.845
B,[512],500000,3,override_w1,200,0.19,0.485,43.7,46.865
C,[512],500000,3,override_w1,200,0.06,0.635,32.8,46.785
B,[512],500000,3,override_w1.5,200,0.175,0.495,42.76,47.56
C,[512],500000,3,override_w1.5,200,0.02,0.965,3.06,25.735
B,[512],500000,3,override_w2,200,0.165,0.505,43.46,47.34
C,[512],500000,3,override_w2,200,0.005,0.995,0.48,24.88
B,[512],500000,3,override_w4,200,0.215,0.45,45.58,47.395
C,[512],500000,3,override_w4,200,0.025,0.975,2.32,24.42
B,[512],500000,3,override_w8,200,0.19,0.48,43.9,46.95
C,[512],500000,3,override_w8,200,0.025,0.975,2.26,24.435
C,[512],500000,3,goal_nulling,200,0.555,0.185,65.18,36.22
C,[512],500000,3,indifference,200,1.0,0.0,84.62,3.845
A,[1024],10000,3,standard,200,0.385,0.495,35.68,32.58
B,[1024],10000,3,standard,200,0.26,0.41,47.76,46.285
C,[1024],10000,3,standard,200,0.445,0.475,35.84,24.46
A,[1024],10000,3,goal_nulling,200,0.05,0.95,4.04,23.99
A,[1024],10000,3,indifference,200,0.39,0.615,25.14,18.715
A,[1024],10000,3,override_w0,200,0.385,0.495,35.68,32.58
A,[1024],10000,3,override_w1,200,0.105,0.815,16.2,28.95
A,[1024],10000,3,override_w1.5,200,0.065,0.905,7.78,26.055
A,[1024],10000,3,override_w2,200,0.105,0.865,10.8,25.02
A,[1024],10000,3,override_w4,200,0.07,0.925,6.48,23.83
A,[1024],10000,3,override_w8,200,0.04,0.95,4.06,24.825
B,[1024],10000,3,goal_nulling,200,0.245,0.41,47.32,48.075
B,[1024],10000,3,indifference,200,0.27,0.435,45.24,43.16
B,[1024],10000,3,override_w0,200,0.26,0.41,47.76,46.285
C,[1024],10000,3,override_w0,200,0.445,0.475,35.84,24.46
B,[1024],10000,3,override_w1,200,0.22,0.385,51.44,51.755
C,[1024],10000,3,override_w1,200,0.095,0.79,19.44,31.61
B,[1024],10000,3,override_w1.5,200,0.22,0.375,52.54,52.28
C,[1024],10000,3,override_w1.5,200,0.06,0.88,10.98,28.195
B,[1024],10000,3,override_w2,200,0.195,0.355,56.1,55.89
C,[1024],10000,3,override_w2,200,0.07,0.81,16.06,32.665
B,[1024],10000,3,override_w4,200,0.2,0.43,48.54,49.855
C,[1024],10000,3,override_w4,200,0.065,0.865,11.98,28.935
B,[1024],10000,3,override_w8,200,0.215,0.385,51.9,52.0
C,[1024],10000,3,override_w8,200,0.075,0.835,14.78,30.2
C,[1024],10000,3,goal_nulling,200,0.175,0.465,47.66,49.05
C,[1024],10000,3,indifference,200,0.45,0.41,41.32,28.645
A,[1024],50000,3,standard,200,0.84,0.075,75.36,13.57
B,[1024],50000,3,standard,200,0.62,0.08,55.14,43.83
C,[1024],50000,3,standard,200,0.96,0.025,79.36,6.525
A,[1024],50000,3,goal_nulling,200,0.05,0.95,4.04,23.99
A,[1024],50000,3,indifference,200,0.91,0.08,77.1,6.565
A,[1024],50000,3,override_w0,200,0.84,0.075,75.36,13.57
A,[1024],50000,3,override_w1,200,0.075,0.93,5.82,23.545
A,[1024],50000,3,override_w1.5,200,0.03,0.97,2.66,24.335
A,[1024],50000,3,override_w2,200,0.035,0.965,3.14,24.215
A,[1024],50000,3,override_w4,200,0.03,0.97,2.66,24.335
A,[1024],50000,3,override_w8,200,0.035,0.965,3.12,24.22
B,[1024],50000,3,goal_nulling,200,0.245,0.41,47.32,48.075
B,[1024],50000,3,indifference,200,0.625,0.075,55.26,42.98
B,[1024],50000,3,override_w0,200,0.62,0.08,55.14,43.83
C,[1024],50000,3,override_w0,200,0.96,0.025,79.36,6.525
B,[1024],50000,3,override_w1,200,0.2,0.48,43.92,46.895
C,[1024],50000,3,override_w1,200,0.045,0.955,3.98,24.005
B,[1024],50000,3,override_w1.5,200,0.195,0.48,43.8,46.895
C,[1024],50000,3,override_w1.5,200,0.03,0.97,2.66,24.335
B,[1024],50000,3,override_w2,200,0.205,0.49,42.2,45.415
C,[1024],50000,3,override_w2,200,0.05,0.95,4.54,23.865
B,[1024],50000,3,override_w4,200,0.19,0.49,42.62,46.31
C,[1024],50000,3,override_w4,200,0.03,0.97,2.66,24.335
B,[1024],50000,3,override_w8,200,0.195,0.475,44.3,47.405
C,[1024],50000,3,override_w8,200,0.03,0.97,2.66,24.335
C,[1024],50000,3,goal_nulling,200,0.315,0.585,27.42,27.985
C,[1024],50000,3,indifference,200,0.945,0.03,80.0,7.34
A,[1024],200000,3,standard,200,0.99,0.0,84.64,4.76
B,[1024],200000,3,standard,200,0.645,0.065,56.62,44.715
C,[1024],200000,3,standard,200,1.0,0.0,84.64,3.84
A,[1024],200000,3,goal_nulling,200,0.05,0.95,4.04,23.99
A,[1024],200000,3,indifference,200,1.0,0.0,84.64,3.84
A,[1024],200000,3,override_w0,200,0.99,0.0,84.64,4.76
A,[1024],200000,3,override_w1,200,0.045,0.955,3.88,24.03
A,[1024],200000,3,override_w1.5,200,0.045,0.97,2.76,24.31
A,[1024],200000,3,override_w2,200,0.035,0.965,3.22,24.195
A,[1024],200000,3,override_w4,200,0.025,0.975,2.26,24.435
A,[1024],200000,3,override_w8,200,0.035,0.965,3.12,24.22
B,[1024],200000,3,goal_nulling,200,0.245,0.41,47.32,48.075
B,[1024],200000,3,indifference,200,0.625,0.045,57.18,45.715
B,[1024],200000,3,override_w0,200,0.645,0.065,56.62,44.715
C,[1024],200000,3,override_w0,200,1.0,0.0,84.64,3.84
B,[1024],200000,3,override_w1,200,0.185,0.4,52.3,53.455
C,[1024],200000,3,override_w1,200,0.055,0.945,4.06,23.985
B,[1024],200000,3,override_w1.5,200,0.175,0.475,45.24,48.66
C,[1024],200000,3,override_w1.5,200,0.01,0.99,0.88,24.78
B,[1024],200000,3,override_w2,200,0.185,0.47,45.2,48.115
C,[1024],200000,3,override_w2,200,0.02,0.98,1.54,24.615
B,[1024],200000,3,override_w4,200,0.2,0.47,44.62,47.405
C,[1024],200000,3,override_w4,200,0.02,0.98,1.78,24.555
B,[1024],200000,3,override_w8,200,0.195,0.48,43.62,47.405
C,[1024],200000,3,override_w8,200,0.025,0.975,2.26,24.435
C,[1024],200000,3,goal_nulling,200,0.345,0.3,56.12,46.755
C,[1024],200000,3,indifference,200,1.0,0.0,84.42,3.895
A,[1024],500000,3,standard,200,1.0,0.0,84.64,3.84
B,[1024],500000,3,standard,200,0.625,0.085,54.34,42.24
C,[1024],500000,3,standard,200,1.0,0.0,84.64,3.84
A,[1024],500000,3,goal_nulling,200,0.05,0.95,4.04,23.99
A,[1024],500000,3,indifference,200,1.0,0.0,84.64,3.84
A,[1024],500000,3,override_w0,200,1.0,0.0,84.64,3.84
A,[1024],500000,3,override_w1,200,0.33,0.0,56.58,69.895
A,[1024],500000,3,override_w1.5,200,0.09,0.91,7.78,23.055
A,[1024],500000,3,override_w2,200,0.04,0.96,3.6,24.1
A,[1024],500000,3,override_w4,200,0.02,0.98,1.82,24.545
A,[1024],500000,3,override_w8,200,0.025,0.975,2.28,24.43
B,[1024],500000,3,goal_nulling,200,0.245,0.41,47.32,48.075
B,[1024],500000,3,indifference,200,0.62,0.085,54.22,42.87
B,[1024],500000,3,override_w0,200,0.625,0.085,54.34,42.24
C,[1024],500000,3,override_w0,200,1.0,0.0,84.64,3.84
B,[1024],500000,3,override_w1,200,0.245,0.395,49.46,50.535
C,[1024],500000,3,override_w1,200,0.23,0.265,44.46,61.815
B,[1024],500000,3,override_w1.5,200,0.18,0.465,46.34,49.21
C,[1024],500000,3,override_w1.5,200,0.05,0.64,33.42,47.445
B,[1024],500000,3,override_w2,200,0.19,0.495,42.24,45.9
C,[1024],500000,3,override_w2,200,0.0,1.0,0.0,25.0
B,[1024],500000,3,override_w4,200,0.185,0.48,44.14,47.425
C,[1024],500000,3,override_w4,200,0.015,0.985,1.4,24.65
B,[1024],500000,3,override_w8,200,0.185,0.475,44.74,47.74
C,[1024],500000,3,override_w8,200,0.02,0.98,1.86,24.535
C,[1024],500000,3,goal_nulling,200,0.31,0.275,59.86,51.575
C,[1024],500000,3,indifference,200,1.0,0.0,84.64,3.84
A,[2048],10000,3,standard,200,0.315,0.685,18.88,20.28
B,[2048],10000,3,standard,200,0.34,0.355,47.12,45.095
C,[2048],10000,3,standard,200,0.405,0.435,32.38,31.225
A,[2048],10000,3,goal_nulling,200,0.105,0.895,9.5,22.625
A,[2048],10000,3,indifference,200,0.27,0.73,20.22,19.945
A,[2048],10000,3,override_w0,200,0.315,0.685,18.88,20.28
A,[2048],10000,3,override_w1,200,0.09,0.885,9.22,25.195
A,[2048],10000,3,override_w1.5,200,0.08,0.83,15.02,30.105
A,[2048],10000,3,override_w2,200,0.12,0.88,9.42,22.735
A,[2048],10000,3,override_w4,200,0.08,0.92,6.08,23.48
A,[2048],10000,3,override_w8,200,0.035,0.765,20.34,39.675
B,[2048],10000,3,goal_nulling,200,0.215,0.215,69.76,64.59
B,[2048],10000,3,indifference,200,0.31,0.375,46.04,45.13
B,[2048],10000,3,override_w0,200,0.34,0.355,47.12,45.095
C,[2048],10000,3,override_w0,200,0.405,0.435,32.38,31.225
B,[2048],10000,3,override_w1,200,0.215,0.465,43.78,46.135
C,[2048],10000,3,override_w1,200,0.13,0.87,10.26,22.435
B,[2048],10000,3,override_w1.5,200,0.21,0.44,46.94,48.23
C,[2048],10000,3,override_w1.5,200,0.06,0.88,9.96,28.38
B,[2048],10000,3,override_w2,200,0.175,0.33,59.78,59.61
C,[2048],10000,3,override_w2,200,0.08,0.8,18.5,32.265
B,[2048],10000,3,override_w4,200,0.19,0.48,44.08,46.97
C,[2048],10000,3,override_w4,200,0.04,0.885,8.7,29.825
B,[2048],10000,3,override_w8,200,0.18,0.43,48.94,51.845
C,[2048],10000,3,override_w8,200,0.035,0.835,15.62,34.075
C,[2048],10000,3,goal_nulling,200,0.165,0.035,77.12,81.54
C,[2048],10000,3,indifference,200,0.45,0.38,41.54,31.385
A,[2048],50000,3,standard,200,0.85,0.1,75.24,10.42
B,[2048],50000,3,standard,200,0.605,0.055,56.6,45.285
C,[2048],50000,3,standard,200,0.94,0.025,83.2,8.195
A,[2048],50000,3,goal_nulling,200,0.105,0.895,9.5,22.625
A,[2048],50000,3,indifference,200,0.925,0.07,79.44,5.56
A,[2048],50000,3,override_w0,200,0.85,0.1,75.24,10.42
A,[2048],50000,3,override_w1,200,0.12,0.885,4.52,23.87
A,[2048],50000,3,override_w1.5,200,0.055,0.945,3.36,24.16
A,[2048],50000,3,override_w2,200,0.03,0.97,2.66,24.335
A,[2048],50000,3,override_w4,200,0.025,0.975,2.2,24.45
A,[2048],50000,3,override_w8,200,0.025,0.975,2.26,24.435
B,[2048],50000,3,goal_nulling,200,0.215,0.215,69.76,64.59
B,[2048],50000,3,indifference,200,0.605,0.06,57.24,45.325
B,[2048],50000,3,override_w0,200,0.605,0.055,56.6,45.285
C,[2048],50000,3,override_w0,200,0.94,0.025,83.2,8.195
B,[2048],50000,3,override_w1,200,0.25,0.465,42.18,43.38
C,[2048],50000,3,override_w1,200,0.085,0.915,6.54,23.365
B,[2048],50000,3,override_w1.5,200,0.2,0.495,41.82,45.365
C,[2048],50000,3,override_w1.5,200,0.045,0.955,4.1,23.975
B,[2048],50000,3,override_w2,200,0.195,0.48,43.8,46.895
C,[2048],50000,3,override_w2,200,0.03,0.97,2.66,24.335
B,[2048],50000,3,override_w4,200,0.19,0.485,44.04,46.77
C,[2048],50000,3,override_w4,200,0.025,0.975,2.26,24.435
B,[2048],50000,3,override_w8,200,0.2,0.495,41.66,45.37
C,[2048],50000,3,override_w8,200,0.03,0.97,2.66,24.335
C,[2048],50000,3,goal_nulling,200,0.19,0.035,83.68,79.0
C,[2048],50000,3,indifference,200,0.945,0.035,81.34,6.585
A,[2048],200000,3,standard,200,1.0,0.0,84.64,3.84
B,[2048],200000,3,standard,200,0.6,0.08,56.1,46.125
C,[2048],200000,3,standard,200,1.0,0.0,84.64,3.84
A,[2048],200000,3,goal_nulling,200,0.105,0.895,9.5,22.625
A,[2048],200000,3,indifference,200,1.0,0.0,84.64,3.84
A,[2048],200000,3,override_w0,200,1.0,0.0,84.64,3.84
A,[2048],200000,3,override_w1,200,0.045,0.945,4.76,24.81
A,[2048],200000,3,override_w1.5,200,0.04,0.95,3.72,25.05
A,[2048],200000,3,override_w2,200,0.025,0.975,2.24,24.44
A,[2048],200000,3,override_w4,200,0.025,0.975,2.2,24.45
A,[2048],200000,3,override_w8,200,0.02,0.98,1.8,24.55
B,[2048],200000,3,goal_nulling,200,0.215,0.215,69.76,64.59
B,[2048],200000,3,indifference,200,0.6,0.07,57.56,45.785
B,[2048],200000,3,override_w0,200,0.6,0.08,56.1,46.125
C,[2048],200000,3,override_w0,200,1.0,0.0,84.64,3.84
B,[2048],200000,3,override_w1,200,0.225,0.47,42.88,45.075
C,[2048],200000,3,override_w1,200,0.05,0.95,3.72,24.19
B,[2048],200000,3,override_w1.5,200,0.175,0.49,44.22,47.405
C,[2048],200000,3,override_w1.5,200,0.015,0.98,1.62,25.075
B,[2048],200000,3,override_w2,200,0.195,0.455,46.12,48.955
C,[2048],200000,3,override_w2,200,0.015,0.985,1.34,24.665
B,[2048],200000,3,override_w4,200,0.18,0.475,44.9,48.19
C,[2048],200000,3,override_w4,200,0.02,0.98,1.76,24.56
B,[2048],200000,3,override_w8,200,0.18,0.495,43.5,46.58
C,[2048],200000,3,override_w8,200,0.02,0.98,1.72,24.57
C,[2048],200000,3,goal_nulling,200,0.28,0.0,89.52,73.295
C,[2048],200000,3,indifference,200,1.0,0.0,84.64,3.84
A,[16],10000,5,standard,200,0.23,0.665,11.68,30.87
B,[16],10000,5,standard,200,0.21,0.29,61.88,59.42
C,[16],10000,5,standard,200,0.135,0.775,14.92,29.39
A,[16],10000,5,goal_nulling,200,0.105,0.895,9.5,22.625
A,[16],10000,5,indifference,200,0.145,0.855,10.64,22.34
A,[16],10000,5,override_w0,200,0.23,0.665,11.68,30.87
A,[16],10000,5,override_w1,200,0.085,0.915,7.58,23.105
A,[16],10000,5,override_w1.5,200,0.085,0.915,7.72,23.07
A,[16],10000,5,override_w2,200,0.075,0.925,6.84,23.29
A,[16],10000,5,override_w4,200,0.08,0.92,7.32,23.17
A,[16],10000,5,override_w8,200,0.075,0.925,6.88,23.28
B,[16],10000,5,goal_nulling,200,0.21,0.14,76.86,70.795
B,[16],10000,5,indifference,200,0.22,0.265,63.5,60.29
B,[16],10000,5,override_w0,200,0.21,0.29,61.88,59.42
C,[16],10000,5,override_w0,200,0.135,0.775,14.92,29.39
B,[16],10000,5,override_w1,200,0.21,0.285,61.78,60.27
C,[16],10000,5,override_w1,200,0.155,0.695,25.68,33.525
B,[16],10000,5,override_w1.5,200,0.24,0.255,63.16,59.56
C,[16],10000,5,override_w1.5,200,0.11,0.825,15.1,27.725
B,[16],10000,5,override_w2,200,0.23,0.24,65.1,61.545
C,[16],10000,5,override_w2,200,0.05,0.885,10.78,28.805
B,[16],10000,5,override_w4,200,0.205,0.255,65.56,62.42
C,[16],10000,5,override_w4,200,0.075,0.845,13.82,29.545
B,[16],10000,5,override_w8,200,0.24,0.245,64.52,60.155
C,[16],10000,5,override_w8,200,0.095,0.81,15.62,30.515
C,[16],10000,5,goal_nulling,200,0.205,0.07,85.64,75.805
C,[16],10000,5,indifference,200,0.15,0.83,13.32,23.67
A,[16],50000,5,standard,200,0.195,0.295,59.08,59.915
B,[16],50000,5,standard,200,0.46,0.025,71.04,58.995
C,[16],50000,5,standard,200,0.96,0.015,79.66,7.58
A,[16],50000,5,goal_nulling,200,0.105,0.895,9.5,22.625
A,[16],50000,5,indifference,200,0.955,0.045,80.7,4.825
A,[16],50000,5,override_w0,200,0.195,0.295,59.08,59.915
A,[16],50000,5,override_w1,200,0.08,0.92,6.92,23.27
A,[16],50000,5,override_w1.5,200,0.06,0.94,5.44,23.64
A,[16],50000,5,override_w2,200,0.07,0.93,6.3,23.425
A,[16],50000,5,override_w4,200,0.07,0.93,6.16,23.46
A,[16],50000,5,override_w8,200,0.07,0.93,6.4,23.4
B,[16],50000,5,goal_nulling,200,0.21,0.14,76.86,70.795
B,[16],50000,5,indifference,200,0.465,0.055,69.08,57.455
B,[16],50000,5,override_w0,200,0.46,0.025,71.04,58.995
C,[16],50000,5,override_w0,200,0.96,0.015,79.66,7.58
B,[16],50000,5,override_w1,200,0.24,0.265,61.9,58.83
C,[16],50000,5,override_w1,200,0.06,0.94,5.28,23.68
B,[16],50000,5,override_w1.5,200,0.27,0.235,63.1,58.545
C,[16],50000,5,override_w1.5,200,0.07,0.93,5.94,23.515
B,[16],50000,5,override_w2,200,0.285,0.255,60.48,56.665
C,[16],50000,5,override_w2,200,0.21,0.8,15.1,21.225
B,[16],50000,5,override_w4,200,0.23,0.28,61.1,58.51
C,[16],50000,5,override_w4,200,0.11,0.895,8.06,22.985
B,[16],50000,5,override_w8,200,0.25,0.24,63.66,59.915
C,[16],50000,5,override_w8,200,0.075,0.925,6.34,23.415
C,[16],50000,5,goal_nulling,200,0.165,0.02,91.18,82.48
C,[16],50000,5,indifference,200,0.935,0.015,81.3,9.615
A,[16],200000,5,standard,200,0.945,0.055,80.76,4.81
B,[16],200000,5,standard,200,0.48,0.04,69.74,56.37
C,[16],200000,5,standard,200,1.0,0.0,84.62,3.845
A,[16],200000,5,goal_nulling,200,0.105,0.895,9.5,22.625
A,[16],200000,5,indifference,200,1.0,0.0,84.62,3.845
A,[16],200000,5,override_w0,200,0.945,0.055,80.76,4.81
A,[16],200000,5,override_w1,200,0.07,0.93,6.12,23.47
A,[16],200000,5,override_w1.5,200,0.045,0.955,4.02,23.995
A,[16],200000,5,override_w2,200,0.065,0.935,5.88,23.53
A,[16],200000,5,override_w4,200,0.04,0.96,3.56,24.11
A,[16],200000,5,override_w8,200,0.035,0.965,3.2,24.2
B,[16],200000,5,goal_nulling,200,0.21,0.14,76.86,70.795
B,[16],200000,5,indifference,200,0.49,0.035,69.3,56.935
B,[16],200000,5,override_w0,200,0.48,0.04,69.74,56.37
C,[16],200000,5,override_w0,200,1.0,0.0,84.62,3.845
B,[16],200000,5,override_w1,200,0.26,0.21,66.24,61.71
C,[16],200000,5,override_w1,200,0.045,0.955,4.14,23.965
B,[16],200000,5,override_w1.5,200,0.245,0.255,62.54,59.13
C,[16],200000,5,override_w1.5,200,0.05,0.95,4.46,23.885
B,[16],200000,5,override_w2,200,0.25,0.28,59.78,56.94
C,[16],200000,5,override_w2,200,0.065,0.935,5.94,23.515
B,[16],200000,5,override_w4,200,0.285,0.21,64.3,59.27
C,[16],200000,5,override_w4,200,0.05,0.95,4.6,23.85
B,[16],200000,5,override_w8,200,0.22,0.3,59.3,57.93
C,[16],200000,5,override_w8,200,0.045,0.955,4.1,23.975
C,[16],200000,5,goal_nulling,200,0.245,0.005,93.24,76.025
C,[16],200000,5,indifference,200,1.0,0.0,84.62,3.845
A,[16],500000,5,standard,200,1.0,0.0,83.74,4.125
B,[16],500000,5,standard,200,0.51,0.03,67.48,55.75
C,[16],500000,5,standard,200,1.0,0.0,84.62,3.845
A,[16],500000,5,goal_nulling,200,0.105,0.895,9.5,22.625
A,[16],500000,5,indifference,200,1.0,0.0,84.62,3.845
A,[16],500000,5,override_w0,200,1.0,0.0,83.74,4.125
A,[16],500000,5,override_w1,200,0.07,0.93,6.26,23.435
A,[16],500000,5,override_w1.5,200,0.06,0.94,5.44,23.64
A,[16],500000,5,override_w2,200,0.06,0.94,5.44,23.64
A,[16],500000,5,override_w4,200,0.06,0.94,5.44,23.64
A,[16],500000,5,override_w8,200,0.045,0.955,4.08,23.98
B,[16],500000,5,goal_nulling,200,0.21,0.14,76.86,70.795
B,[16],500000,5,indifference,200,0.505,0.02,68.78,56.055
B,[16],500000,5,override_w0,200,0.51,0.03,67.48,55.75
C,[16],500000,5,override_w0,200,1.0,0.0,84.62,3.845
B,[16],500000,5,override_w1,200,0.255,0.275,60.26,56.775
C,[16],500000,5,override_w1,200,0.035,0.965,3.12,24.22
B,[16],500000,5,override_w1.5,200,0.23,0.26,62.9,60.01
C,[16],500000,5,override_w1.5,200,0.04,0.96,3.6,24.1
B,[16],500000,5,override_w2,200,0.22,0.28,61.26,59.5
C,[16],500000,5,override_w2,200,0.04,0.96,3.68,24.08
B,[16],500000,5,override_w4,200,0.25,0.235,63.44,60.36
C,[16],500000,5,override_w4,200,0.03,0.97,2.66,24.335
B,[16],500000,5,override_w8,200,0.25,0.24,63.6,59.915
C,[16],500000,5,override_w8,200,0.04,0.96,3.66,24.085
C,[16],500000,5,goal_nulling,200,0.24,0.0,92.76,77.03
C,[16],500000,5,indifference,200,1.0,0.0,84.62,3.845
A,[64],10000,5,standard,200,0.26,0.74,20.06,19.985
B,[64],10000,5,standard,200,0.305,0.085,77.4,66.38
C,[64],10000,5,standard,200,0.46,0.145,57.42,47.315
A,[64],10000,5,goal_nulling,200,0.07,0.93,6.38,23.405
A,[64],10000,5,indifference,200,0.365,0.565,34.28,22.7
A,[64],10000,5,override_w0,200,0.26,0.74,20.06,19.985
A,[64],10000,5,override_w1,200,0.115,0.885,9.98,22.505
A,[64],10000,5,override_w1.5,200,0.05,0.95,3.64,24.09
A,[64],10000,5,override_w2,200,0.075,0.925,6.64,23.35
A,[64],10000,5,override_w4,200,0.06,0.94,5.32,23.67
A,[64],10000,5,override_w8,200,0.07,0.93,6.14,23.465
B,[64],10000,5,goal_nulling,200,0.205,0.31,60.48,58.615
B,[64],10000,5,indifference,200,0.29,0.09,77.78,67.315
B,[64],10000,5,override_w0,200,0.305,0.085,77.4,66.38
C,[64],10000,5,override_w0,200,0.46,0.145,57.42,47.315
B,[64],10000,5,override_w1,200,0.27,0.215,65.04,60.1
C,[64],10000,5,override_w1,200,0.11,0.74,23.14,34.075
B,[64],10000,5,override_w1.5,200,0.28,0.22,63.54,58.895
C,[64],10000,5,override_w1.5,200,0.095,0.845,12.98,27.79
B,[64],10000,5,override_w2,200,0.275,0.24,62.12,57.75
C,[64],10000,5,override_w2,200,0.14,0.825,11.82,25.465
B,[64],10000,5,override_w4,200,0.26,0.245,62.46,58.715
C,[64],10000,5,override_w4,200,0.085,0.83,15.1,29.705
B,[64],10000,5,override_w8,200,0.285,0.19,67.02,60.56
C,[64],10000,5,override_w8,200,0.065,0.87,12.4,29.4
C,[64],10000,5,goal_nulling,200,0.265,0.435,44.44,43.85
C,[64],10000,5,indifference,200,0.44,0.425,40.7,26.945
A,[64],50000,5,standard,200,0.735,0.05,75.62,26.015
B,[64],50000,5,standard,200,0.45,0.04,70.32,58.2
C,[64],50000,5,standard,200,0.895,0.02,82.8,12.72
A,[64],50000,5,goal_nulling,200,0.07,0.93,6.38,23.405
A,[64],50000,5,indifference,200,0.84,0.165,72.46,6.885
A,[64],50000,5,override_w0,200,0.735,0.05,75.62,26.015
A,[64],50000,5,override_w1,200,0.035,0.965,3.12,24.22
A,[64],50000,5,override_w1.5,200,0.04,0.96,3.58,24.105
A,[64],50000,5,override_w2,200,0.045,0.955,4.06,23.985
A,[64],50000,5,override_w4,200,0.045,0.955,4.14,23.965
A,[64],50000,5,override_w8,200,0.045,0.955,4.0,24.0
B,[64],50000,5,goal_nulling,200,0.205,0.31,60.48,58.615
B,[64],50000,5,indifference,200,0.415,0.065,70.12,59.77
B,[64],50000,5,override_w0,200,0.45,0.04,70.32,58.2
C,[64],50000,5,override_w0,200,0.895,0.02,82.8,12.72
B,[64],50000,5,override_w1,200,0.245,0.26,62.08,58.78
C,[64],50000,5,override_w1,200,0.075,0.925,6.64,23.34
B,[64],50000,5,override_w1.5,200,0.265,0.255,61.78,57.4
C,[64],50000,5,override_w1.5,200,0.035,0.965,3.12,24.22
B,[64],50000,5,override_w2,200,0.24,0.275,61.38,58.44
C,[64],50000,5,override_w2,200,0.05,0.95,4.5,23.875
B,[64],50000,5,override_w4,200,0.225,0.28,61.18,58.995
